Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3
205,"A Long Shadow (Inspector Ian Rutledge, #8)",01:10,352,1.425,total:3879,3,1,William Morrow,238,2006,eng,Charles Todd,4.12,02:56,1.109722222,006078671X,0.613194444
206,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,01:01,344,04:03,total:14,31,8,Rowman & Littlefield Publishers,4,2005,,Christopher Waldrep,3.29,02:03,05:03,742548686,03:04
207,Long Way Round: Chasing Shadows Across the World,0.15,320,2.697916667,total:9348,1,11,Atria Books,44,2005,en-US,Ewan McGregor,3.95,0.383333333,2.272916667,743499344,1.6125
208,"A Shadow in Summer (Long Price Quartet, #1)",0.280555556,331,3.15625,total:11123,7,3,Tor Books,636,2006,eng,Daniel Abraham,3.61,0.766666667,1.634027778,765313405,2.511805556
213,New Hope for the Dead (Hoke Mosely #2),01:02,244,0.496527778,total:1051,10,8,Vintage Crime/Black Lizard,79,2004,eng,Charles Willeford,3.9,02:56,0.392361111,1400032490,0.300694444
214,Sideswipe: A Hoke Moseley Novel,01:07,215,0.448611111,total:931,8,3,Vintage Crime/Black Lizard,72,2005,eng,Charles Willeford,4.04,02:40,0.421527778,1400032482,0.24375
215,The Way We Die Now,01:04,256,0.426388889,total:803,16,8,Vintage Crime/Black Lizard,62,2005,,Charles Willeford,4.06,02:27,0.386111111,1400032504,0.223611111
216,Miami Blues (Hoke Moseley #1),01:44,191,1.136805556,total:3508,10,8,Vintage Crime/Black Lizard,181,2004,eng,Charles Willeford,3.94,0.197222222,0.952083333,1400032466,0.702777778
218,The Woman Chaser,01:05,192,0.338888889,total:600,1,4,Newstand Library,51,1960,,Charles Willeford,3.93,02:26,0.329166667,1842430017,0.227083333
219,The Machine in Ward Eleven,01:02,160,04:50,total:147,27,8,Thunder's Mouth Press,15,2001,,Charles Willeford,3.59,02:12,05:26,1568582102,03:57
221,Wild Wives,01:03,102,0.294444444,total:452,9,9,Vintage Crime/Black Lizard,44,2009,,Charles Willeford,3.68,02:30,0.263888889,1400032474,0.232638889
222,The Shark-Infested Custard,01:08,272,0.318055556,total:574,6,12,Vintage Crime/Black Lizard,58,2005,,Charles Willeford,3.82,02:37,0.315277778,1400032512,0.234027778
224,The Black Mass of Brother Springer,01:03,208,0.236805556,total:237,1,12,Wit's End Books,11,2003,,Charles Willeford,3.97,02:08,0.258333333,1930997353,03:53
